SAMPLE	PWY_NAME	PWY_COMMON_NAME	NUM_REACTIONS	NUM_COVERED_REACTIONS	ORF_COUNT	WTD	OBSERVED	EXPECTED	ORFS
CENS	LEU-DEG2-PWY	"L-leucine degradation I"	6	4	15	-1.5	root (1)	Eukaryota (2759)	[O_8959_0,O_36963_0,O_73419_0,O_78068_0,O_43837_3,O_23680_10,O_47338_1,O_36460_0,O_7800_1,O_73418_0,O_4882_0,O_28035_0,O_43838_0,O_50223_0,O_23599_0]
CENS	PWY-6848	"rutin degradation"	3	1	1	-1.875	root (1)	Fungi (4751)	[O_87588_0]
CENS	P124-PWY	"Bifidobacterium shunt"	15	15	127	-1.875	root (1)	Actinobacteria <phylum> (201174)	[O_16990_7,O_31460_6,O_51897_0,O_80116_0,O_19338_1,O_24203_1,O_69195_1,O_37849_3,O_6474_7,O_22482_0,O_60984_0,O_6793_4,O_29540_0,O_36228_0,O_73180_0,O_48601_2,O_91849_1,O_76632_2,O_49312_0,O_34571_0,O_33747_1,O_22949_0,O_36273_0,O_329_0,O_8275_1,O_16523_0,O_31894_0,O_81544_1,O_31403_0,O_58882_0,O_59944_2,O_38149_0,O_7621_0,O_69757_0,O_81717_0,O_87812_1,O_65694_0,O_50185_1,O_31461_0,O_30062_0,O_6803_3,O_19172_3,O_75122_9,O_18108_0,O_14047_21,O_46520_0,O_25009_0,O_32882_0,O_4296_36,O_78292_1,O_38760_0,O_4763_1,O_81163_0,O_16532_0,O_81276_0,O_56103_1,O_48292_0,O_34991_2,O_11161_0,O_70463_1,O_20031_0,O_76677_1,O_4296_8,O_15707_1,O_32344_1,O_88820_0,O_97970_0,O_68097_0,O_58217_2,O_14378_2,O_65496_0,O_65496_1,O_20900_0,O_58827_1,O_50271_3,O_65037_0,O_4764_0,O_73827_0,O_2880_1,O_56690_0,O_9622_3,O_10875_5,O_28273_0,O_99429_0,O_48269_1,O_80877_0,O_42767_0,O_80692_0,O_11447_0,O_8218_9,O_16702_0,O_30030_1,O_21729_3,O_11972_1,O_16186_14,O_5686_1,O_67457_0,O_77013_3,O_18107_1,O_36208_0,O_2759_0,O_50681_1,O_22180_8,O_2917_0,O_11735_1,O_5009_1,O_56331_0,O_83697_0,O_86617_0,O_22954_1,O_13334_6,O_96142_1,O_92901_1,O_51757_0,O_83107_0,O_30693_1,O_30693_0,O_77389_1,O_77903_4,O_77903_5,O_2775_1,O_21_3,O_18800_19,O_28135_1,O_76678_0,O_76678_1,O_64059_0]
CENS	PWY-4621	"arsenate detoxification II (glutaredoxin)"	2	1	1	-1.5	root (1)	Bacteria (2)	[O_90088_1]
CENS	CALVIN-PWY	"Calvin-Benson-Bassham cycle"	13	10	58	-1.5	root (1)	Bacteria (2)	[O_9112_0,O_68097_0,O_65694_0,O_65496_0,O_42216_1,O_51897_0,O_51897_1,O_95573_0,O_53755_1,O_58882_0,O_6803_3,O_95851_0,O_50681_1,O_2759_0,O_20900_0,O_37849_3,O_22180_8,O_84655_1,O_2917_0,O_2917_1,O_6793_4,O_31460_6,O_6793_0,O_6793_1,O_32882_0,O_3027_1,O_73180_0,O_329_0,O_78292_1,O_91849_1,O_31461_0,O_22482_0,O_71628_2,O_22954_1,O_99429_0,O_29183_1,O_48269_1,O_56103_0,O_30693_1,O_30693_0,O_72493_0,O_51757_0,O_77389_1,O_34991_2,O_77903_4,O_77903_5,O_29540_0,O_2775_1,O_16702_0,O_4633_1,O_50271_3,O_18800_19,O_92901_1,O_76678_1,O_11972_1,O_88820_0,O_11735_1,O_33747_1]
CENS	PWY490-4	"L-asparagine biosynthesis III (tRNA-dependent)"	3	2	25	-1.5	root (1)	Archaea (2157)	[O_1838_0,O_93822_0,O_6801_5,O_1839_0,O_57171_0,O_21688_1,O_60103_1,O_47228_0,O_75742_2,O_92614_1,O_48400_0,O_17613_0,O_1726_4,O_64491_1,O_49554_0,O_1725_4,O_21329_1,O_75486_1,O_88596_1,O_7402_1,O_23899_1,O_53197_0,O_1840_0,O_24325_1,O_71967_1]
CENS	PWY-5083	"NAD/NADH phosphorylation and dephosphorylation"	6	4	124	-1.75	root (1)	Viridiplantae (33090)	[O_52587_1,O_98036_0,O_48055_0,O_48055_1,O_48055_3,O_13653_0,O_63264_0,O_29430_1,O_52559_1,O_26090_1,O_39655_0,O_50636_2,O_50636_0,O_30092_0,O_3201_1,O_3201_0,O_6736_1,O_6736_0,O_6736_3,O_6736_2,O_6736_5,O_6736_4,O_4508_2,O_4508_3,O_4508_0,O_14960_1,O_4508_4,O_4508_5,O_60833_0,O_21244_1,O_21244_0,O_63278_0,O_94841_0,O_26781_4,O_65798_0,O_25874_3,O_8229_1,O_68593_1,O_19154_0,O_19154_1,O_28047_2,O_52558_2,O_52558_1,O_52558_0,O_27337_0,O_27797_0,O_3200_1,O_14217_0,O_16532_3,O_68593_0,O_10823_0,O_85195_0,O_30511_0,O_73457_5,O_21245_0,O_4507_8,O_5122_8,O_4507_1,O_4507_0,O_4507_3,O_59680_1,O_4507_5,O_4507_4,O_4507_7,O_4507_6,O_56777_0,O_58855_0,O_91308_1,O_14382_1,O_6372_0,O_6372_2,O_93816_0,O_57854_0,O_44765_0,O_44765_1,O_19802_7,O_84734_0,O_19794_0,O_19794_1,O_56318_0,O_28917_0,O_76467_1,O_74318_1,O_74318_0,O_24701_1,O_21327_1,O_63277_1,O_63277_0,O_4507_2,O_56529_0,O_43459_1,O_53583_0,O_10089_1,O_38694_0,O_8526_0,O_8526_1,O_69633_0,O_40864_0,O_61869_2,O_61978_4,O_80251_1,O_57129_0,O_3200_0,O_80024_1,O_3200_2,O_76974_2,O_76974_1,O_76974_0,O_66948_0,O_48266_0,O_48266_1,O_48266_2,O_10824_0,O_32339_1,O_32339_2,O_58086_1,O_58086_0,O_34136_1,O_19153_1,O_19153_0,O_10587_0,O_26830_1,O_66023_1,O_66023_0]
CENS	PWY-5080	"very long chain fatty acid biosynthesis I"	4	1	4	-1.5	root (1)	Bacteria (2)	[O_71895_0,O_35991_0,O_26211_0,O_53736_0]
CENS	PWY-5084	"2-oxoglutarate decarboxylation to succinyl-CoA"	3	3	36	-1.5	root (1)	Eukaryota (2759)	[O_70391_0,O_92525_0,O_81290_0,O_83161_0,O_25385_0,O_70390_0,O_13834_0,O_26589_0,O_62074_1,O_79007_0,O_86635_0,O_4501_0,O_75873_1,O_12622_1,O_44225_1,O_12623_0,O_62033_0,O_1608_3,O_25937_0,O_43922_0,O_88320_0,O_5573_0,O_82877_0,O_75617_0,O_49813_0,O_94683_0,O_38352_0,O_58135_0,O_73918_0,O_9116_0,O_99801_1,O_68430_0,O_67574_0,O_33995_0,O_73917_0,O_32050_0]
CENS	PWY-5913	"partial TCA cycle (obligate autotrophs)"	11	10	87	-1.75	root (1)	Proteobacteria (1224)	[O_79684_0,O_57126_0,O_27436_0,O_86636_0,O_98787_1,O_54404_1,O_5422_0,O_27072_1,O_60255_0,O_86390_0,O_82531_0,O_48590_0,O_22467_6,O_14377_1,O_2818_0,O_14524_0,O_64859_0,O_13954_0,O_27719_0,O_53620_0,O_16019_0,O_26357_0,O_23130_2,O_20671_0,O_89384_0,O_41062_0,O_38935_0,O_46201_0,O_44915_0,O_11555_1,O_90666_0,O_98882_0,O_79217_0,O_86837_0,O_35454_1,O_35454_2,O_27904_0,O_48409_0,O_23403_0,O_13480_0,O_36549_0,O_67674_0,O_80166_0,O_71939_0,O_60909_1,O_84035_0,O_8247_1,O_45138_0,O_27542_2,O_42659_0,O_25023_0,O_74019_0,O_63529_1,O_13071_4,O_24127_0,O_86172_1,O_62472_0,O_29386_0,O_63996_0,O_9072_0,O_67278_1,O_40465_1,O_28016_0,O_62092_0,O_87813_0,O_33324_0,O_35084_0,O_78663_0,O_86206_0,O_44985_0,O_25406_0,O_88965_0,O_92207_0,O_43179_0,O_10319_4,O_11094_0,O_1691_0,O_49521_0,O_39911_0,O_43512_0,O_28789_0,O_13323_0,O_6755_0,O_4712_1,O_43479_1,O_47685_0,O_8645_2]
